,lb_stat,lb_pvalue,Variable,Version
7,1861.1914825812191,0.0,trip_count,Raw
14,2497.258627553177,0.0,trip_count,Raw
21,2961.062301413473,0.0,trip_count,Raw
30,3532.949465645837,0.0,trip_count,Raw
60,4952.317052628018,0.0,trip_count,Raw
7,579.7107890301754,5.688894083864808e-121,trip_count,First diff
14,1114.1692270407138,4.831869642215148e-229,trip_count,First diff
21,1616.330743712833,0.0,trip_count,First diff
30,2139.128285342132,0.0,trip_count,First diff
60,4158.096832214913,0.0,trip_count,First diff
7,1244.9201093381118,1.3629518795414013e-264,trip_count,Seasonal diff(7)
14,1620.818600608002,0.0,trip_count,Seasonal diff(7)
21,1657.8835135735958,0.0,trip_count,Seasonal diff(7)
30,1660.0505525882136,0.0,trip_count,Seasonal diff(7)
60,1758.5895153864758,0.0,trip_count,Seasonal diff(7)
7,260.12883181049017,1.931635527365894e-52,trip_count,Full diff(1+7)
14,271.6176653016398,9.520956400151948e-50,trip_count,Full diff(1+7)
21,283.9321456910664,5.836914041349462e-48,trip_count,Full diff(1+7)
30,299.5204695455095,3.2915362340019356e-46,trip_count,Full diff(1+7)
60,332.21825910782826,2.439290706676699e-39,trip_count,Full diff(1+7)
7,1864.3384410440233,0.0,avg_fare,Raw
14,3152.45592295605,0.0,avg_fare,Raw
21,4263.462507294218,0.0,avg_fare,Raw
30,5216.361267818081,0.0,avg_fare,Raw
60,6556.535227859067,0.0,avg_fare,Raw
7,817.3447082461223,3.352524721984329e-172,avg_fare,First diff
14,1550.599433513531,0.0,avg_fare,First diff
21,2246.0777183104174,0.0,avg_fare,First diff
30,3113.4115090755063,0.0,avg_fare,First diff
60,5841.8961445537925,0.0,avg_fare,First diff
7,588.7337384124214,6.492779192879347e-123,avg_fare,Seasonal diff(7)
14,670.6867660746294,4.630651300626971e-134,avg_fare,Seasonal diff(7)
21,683.1737334841627,4.751660731560486e-131,avg_fare,Seasonal diff(7)
30,706.9602098851778,1.7367626716010796e-129,avg_fare,Seasonal diff(7)
60,772.1561231581705,2.6870876452129496e-124,avg_fare,Seasonal diff(7)
7,354.0882502738826,1.6424117612665955e-72,avg_fare,Full diff(1+7)
14,377.64216095925065,6.441161269082594e-72,avg_fare,Full diff(1+7)
21,389.6280535084201,1.2941715295790207e-69,avg_fare,Full diff(1+7)
30,419.47402736145403,3.2008125325803216e-70,avg_fare,Full diff(1+7)
60,471.06494223786717,4.066792560190309e-65,avg_fare,Full diff(1+7)
7,2173.6771237965722,0.0,total_revenue,Raw
14,2909.883172528316,0.0,total_revenue,Raw
21,3432.46902094685,0.0,total_revenue,Raw
30,3990.34770683802,0.0,total_revenue,Raw
60,5122.73239638762,0.0,total_revenue,Raw
7,612.4414317860641,5.094382074632857e-128,total_revenue,First diff
14,1149.533794937669,1.219201388373341e-236,total_revenue,First diff
21,1641.2272205086879,0.0,total_revenue,First diff
30,2160.761884812151,0.0,total_revenue,First diff
60,4327.976749327994,0.0,total_revenue,First diff
7,1257.4535606824409,2.6529858056635895e-267,total_revenue,Seasonal diff(7)
14,1615.014030747597,0.0,total_revenue,Seasonal diff(7)
21,1636.216740277591,0.0,total_revenue,Seasonal diff(7)
30,1641.6934300192463,0.0,total_revenue,Seasonal diff(7)
60,1726.0229528927441,0.0,total_revenue,Seasonal diff(7)
7,263.8501963212445,3.1127576493162196e-53,total_revenue,Full diff(1+7)
14,276.4238364180667,9.55862012219278e-51,total_revenue,Full diff(1+7)
21,289.03251486494247,5.389727712139977e-49,total_revenue,Full diff(1+7)
30,307.55793200205295,8.549509503207698e-48,total_revenue,Full diff(1+7)
60,342.6458195311633,3.2317977593416717e-41,total_revenue,Full diff(1+7)
